name,age,height,weight,arm,hand_long,hand_width,stand_reach,ground_reach,run_reach,3/4_dash,limit_move,team,sp_en_score,ball_score,test_score
梁英淇,21,207,110,209,21,9,270,336,342,,,新疆伊力王酒,·,·,·
王庆明,29,201,110,200,22,9,258,327,338,3.191,11.438,青岛每日优鲜,90,116,206
邵英伦,25,203,91,202,21,9,258,327,327,3.271,11.673,青岛每日优鲜,112,90,202
杨金蒙,25,190,88,192,20,9,242,316,331,3.578,12.746,青岛每日优鲜,114,83,197
吕俊虎,22,205,92,198,21,10.5,259,325,339,3.198,11.754,青岛每日优鲜,150,83,233
王睿泽,26,197,93,196,21.5,10,255,329,341,3.443,12.173,青岛每日优鲜,150,83,233
王洪,29,182,73,180,18.5,9.5,230,292,317,3.186,12.041,青岛每日优鲜,146,64,210
刘家昕,20,185,74,181,20,8,234,306,320,3.112,11.757,青岛每日优鲜,130,104,234
洪仲桦,22,191,91,190,19,8.5,243,314,327,3.110,11.478,青岛每日优鲜,102,129,231
张扬,21,206,85,209,22,9,266,341,348,3.074,12.040,青岛每日优鲜,150,83,233
许家晗,28,182,82,187,21,9,237,321,332,2.984,10.948,青岛每日优鲜,132,70,202
张祖铭,26,205,95,201,22,9.5,263,328,349,3.260,11.425,青岛每日优鲜,150,76,226
张骋宇,32,192,71,190,19.5,8,246,305,319,3.283,13.500,青岛每日优鲜,,,
赵泰隆,31,192,91,194,20,9,251,320,333,3.141,11.167,青岛每日优鲜,,,
赵大鹏,31,196,94,201,22,9,251,321,327,,,青岛每日优鲜,,,
林韦翰,31,178,71,174,20,8.5,225,290,300,3.226,11.667,青岛每日优鲜,,,
李原宇,30,206,127,213,23.5,10.5,268,318,325,3.550,12.793,青岛每日优鲜,,,
高世鳌,21,225,106,232,23,9,294,348,368,3.439,12.276,青岛每日优鲜,,,
孙铭徽,25,186,79,189,20,9,241,314,335,3.148,10.889,浙江广厦控股,96,90,186
赵嘉仁,22,203,96,203,21,8,259,327,341,3.411,12.112,浙江广厦控股,150,76,226
赵嘉义,22,205,98,206,22,8.5,264,335,342,3.297,12.034,浙江广厦控股,150,76,226
杜金伦,22,197,94,195,21,8.5,248,320,326,3.391,11.744,浙江广厦控股,140,76,216
张翔,21,190,86,188,19,8.5,242,310,319,3.366,11.591,浙江广厦控股,122,76,198
原晨云,22,208,82,211,22,9,268,326,335,3.264,11.361,浙江广厦控股,132,102,234
吴骁,22,205,116,204,21,9,262,329,333,3.605,12.727,浙江广厦控股,112,96,208
朱俊龙,22,201,94,203,20,9,259,327,343,3.388,11.368,浙江广厦控股,116,104,220
纪卓,20,210,102,204,21.5,9.5,267,332,342,3.314,12.034,浙江广厦控股,112,90,202
田泽皓,20,195,98,193,21,9,247,313,334,3.477,11.754,浙江广厦控股,110,83,193
许可,21,185,83,186,19,8,238,301,319,3.400,11.586,浙江广厦控股,110,90,200
孙椿鹏,26,205,104,204,20.5,9.5,265,323,331,3.313,11.486,浙江广厦控股,144,90,234
姜文,25,189,84,191,22,9,243,310,327,3.413,11.043,浙江广厦控股,112,97,209
王济君,21,205,93,206,20,8.5,261,324,335,4.157,14.048,浙江广厦控股,114,76,190
胡金秋,24,211,111,215,25,9.5,274,342,350,3.401,11.780,浙江广厦控股,,,
赵岩昊,24,195,79,195,20,8.5,251,320,342,3.346,13.062,浙江广厦控股,,,
许钟豪,31,212,135,219,22.5,9.5,274,318,331,3.807,13.893,浙江广厦控股,,,
冯欣,29,182,75,182,20.5,9,234,290,298,3.313,11.041,浙江广厦控股,,,
李金效,24,207,110,206,22,9.5,268,332,348,3.349,12.562,浙江广厦控股,92,90,182
敖尔格乐,20,195,83,190,21,9,250,306,319,,,浙江广厦控股,·,·,·
李慕豪,29,220,122,222,23,10,285,347,357,3.573,13.500,北京首钢,90,96,186
杨阿力,20,184,76,183,19,9,234,309,322,3.150,10.525,北京首钢,118,83,201
孙晨然,22,188,79,191,20,8.5,240,313,323,3.195,11.223,北京首钢,118,104,222
雷蒙,26,196,99,192,19.5,9,249,316,330,3.576,11.595,北京首钢,120,104,224
白谛,22,194,95,192,19,9,249,316,328,3.234,11.497,北京首钢,126,70,196
范依铭,20,204,89,211,22.5,9,262,331,342,3.332,11.470,北京首钢,148,64,212
张才仁,26,195,97,193,21,9,252,314,322,3.312,11.221,北京首钢,134,83,217
范子铭,23,211,118,214,21.5,9,271,330,332,3.714,12.806,北京首钢,106,90,196
塔瑞克·加尼尤,23,208,111,216,22.5,9.5,270,336,343,3.648,12.561,北京首钢,150,57,207
张卓,25,201,97,207,21.5,9,263,327,340,3.679,11.921,北京首钢,132,76,208
田宇翔,29,182,84,189,19.5,9.5,236,309,322,3.267,11.565,北京首钢,114,76,190
于喜淼,21,198,98,200,20,8.5,258,324,331,3.274,11.545,北京首钢,108,83,191
栾利程,23,197,86,198,21,9.5,252,322,338,3.326,12.313,北京首钢,148,64,212
陈赞宇,24,195,89,199,21,9,251,320,325,3.431,11.958,北京首钢,118,83,201
高升,24,,,,,,,,,,,北京首钢,·,·,·
翟晓川,28,205,111,204,21,9,261,323,337,3.546,11.969,北京首钢,,,
周仪翔,30,191,104,200,21,9.5,250,315,319,3.372,12.062,北京首钢,,,
王骁辉,31,197,100,196,21,8.5,250,322,339,3.368,11.532,北京首钢,,,
方硕,31,189,88,192,20,8.5,244,315,324,3.456,12.302,北京首钢,,,
刘晓宇,32,191,82,193,21,8,246,317,330,3.257,12.016,北京首钢,,,
朱彦西,31,207,114,211,22,9,268,328,340,3.546,13.390,北京首钢,,,
常林,33,206,122,208,23,9,264,334,348,5.316,14.867,北京首钢,,,
曾凡博,18,,,,,,,,,,,北京首钢,·,·,·
容子峰,22,186,82,192,19.5,9.5,243,314,334,3.225,12.134,深圳马可波罗,104,104,208
杨林祎,26,188,76,189,19.5,8.5,243,315,320,3.827,13.062,深圳马可波罗,104,90,194
白昊天,22,194,92,197,20.5,10,251,321,337,3.498,12.469,深圳马可波罗,144,76,220
孙浩钦,18,192,79,192,21,8.5,247,310,326,3.434,11.948,深圳马可波罗,106,90,196
贺希宁,24,195,103,193,20,9.5,257,317,338,3.290,12.055,深圳马可波罗,134,90,224
孟翔,24,197,93,193,20,9.5,250,310,330,3.567,12.366,深圳马可波罗,106,112,218
卢鹏羽,20,198,79,199,21,8.5,256,326,345,3.333,11.878,深圳马可波罗,150,50,200
武子涵,18,202,89,202,21,9,262,332,344,3.432,12.343,深圳马可波罗,150,64,214
李想,23,206,95,209,21,9,265,328,338,3.317,11.675,深圳马可波罗,150,90,240
顾全,29,201,98,201,20.5,9.5,259,319,325,3.415,11.098,深圳马可波罗,134,112,246
韩驭丰,22,205,105,200,20,9,262,312,321,4.125,13.935,深圳马可波罗,122,60,182
彭森傲,18,214,101,214,21,9.5,271,327,338,3.541,12.864,深圳马可波罗,140,64,204
赵义明,21,220,140,216,21,9.5,288,340,348,3.765,13.130,深圳马可波罗,90,102,192
于长春,30,202,96,201,20,9.5,255,313,329,3.735,12.442,深圳马可波罗,,,
买尔丹·吐尔逊,33,205,109,209,21.5,10,266,319,321,3.751,12.826,深圳马可波罗,,,
沈梓捷,24,210,114,222,23.5,10,278,345,358,3.528,11.373,深圳马可波罗,,,
卢艺文,26,205,105,204,20.5,10,263,326,335,,,深圳马可波罗,,,
何忠勉,30,195,96,200,21,9,254,316,330,,,深圳马可波罗,,,
崔晋铭,29,195,91,194,20,9,250,314,323,3.423,12.020,九台农商银行,112,90,202
代怀博,27,208,98,207,21,9,269,333,338,3.510,12.367,九台农商银行,110,90,200
丁皓然,25,206,96,203,21,9,266,331,343,3.377,12.807,九台农商银行,102,109,211
付博文,22,181,77,180,19.5,8.5,230,310,327,2.966,10.861,九台农商银行,138,112,250
耿铭旸,24,198,107,200,20,9,255,334,347,3.158,11.053,九台农商银行,126,83,209
姜伟泽,21,181,72,179,19.5,8.5,230,313,331,3.045,12.094,九台农商银行,136,120,256
孔德高,20,188,72,188,20,9,241,325,342,3.593,11.552,九台农商银行,122,96,218
李盛东,25,199,103,201,20.5,10.5,256,317,332,3.345,12.478,九台农商银行,118,112,230
刘天意,27,191,87,197,21,9,251,325,337,3.185,11.630,九台农商银行,126,120,246
吕安宇,19,190,84,201,20,8.5,247,324,337,3.290,11.357,九台农商银行,124,76,200
田晨翔,20,200,87,200,21,8.5,258,324,336,3.482,12.270,九台农商银行,100,84,184
张正昕,26,207,112,204,23,10,262,331,336,3.412,12.838,九台农商银行,134,90,224
刘禹涛,24,206,111,214,23,10,268,329,340,3.417,12.161,九台农商银行,132,68,200
李安,31,209,118,216,24,9.5,272,341,346,3.769,13.861,九台农商银行,,,
钟诚,32,205,124,212,22.5,9.5,268,317,326,3.548,13.068,九台农商银行,,,
姜宇星,26,192,94,197,21.5,9.5,247,318,332,3.658,12.678,九台农商银行,,,
朱恩彤,22,,,,,,,,,,,九台农商银行,·,·,·
景菡一,22,194,96,201,20.5,9,250,320,323,3.652,14.676,四川金荣实业,126,120,246
胡钧淋,22,179,80,182,19.5,8,228,306,322,3.323,11.663,四川金荣实业,150,97,247
张辉,25,190,89,191,20.5,8.5,242,313,324,3.837,12.842,四川金荣实业,110,104,214
李泓翰,26,197,90,201,20,9,254,318,322,3.431,12.419,四川金荣实业,138,64,202
胡林森,22,198,88,195,19.5,9,250,322,338,3.357,12.890,四川金荣实业,150,97,247
赵戌宏,25,215,111,213,22.5,9.5,278,344,347,3.502,13.649,四川金荣实业,90,90,180
张殿梁,24,201,104,205,21.5,9.5,258,311,324,3.640,12.731,四川金荣实业,104,102,206
李柯七,25,187,85,185,18.5,9,235,290,318,3.608,12.469,四川金荣实业,102,90,192
李林岳,23,183,83,184,20,9,236,300,314,3.440,12.328,四川金荣实业,110,90,200
陈辰,29,198,96,201,21.5,9.5,256,322,338,3.457,12.518,四川金荣实业,140,90,230
朱松玮,25,206,101,205,21.5,9,263,332,350,3.433,12.999,四川金荣实业,150,109,259
郭金林,30,197,100,205,21.5,9.5,254,324,335,3.503,12.531,四川金荣实业,,,
韩硕,35,197,91,196,22,10,252,311,319,3.658,12.455,四川金荣实业,,,
苏若禹,30,206,117,216,22.5,9.5,273,330,338,3.589,13.577,四川金荣实业,,,
袁振梁,23,207,112,213,22,10,257,339,346,3.484,12.169,四川金荣实业,,,
莫蒙尘,22,190,90,181,20,9,238,304,308,,,四川金荣实业,·,·,·
郭治瀚,22,196,90,192,19.5,9,249,312,313,4.231,14.042,四川金荣实业,150,50,200
左朕年,25,200,108,202,21.5,10,257,325,330,3.941,13.309,四川金荣实业,92,90,182
孟天艺,22,206,113,208,22,10,268,328,337,3.742,13.834,四川金荣实业,138,78,216
陈浩南,21,196,87,196,20,9,251,323,334,3.519,12.223,四川金荣实业,150,50,200
郑准,29,216,104,222,23,9.5,281,350,358,3.578,14.508,时代中国广州,90,116,206
郭凯,28,206,109,211,22,11,260,320,333,3.372,12.449,时代中国广州,96,109,205
贾明儒,24,185,81,184,19.5,9,235,306,324,3.472,12.736,时代中国广州,104,120,224
齐浩彤,23,199,106,200,21,9,257,321,335,3.241,12.292,时代中国广州,122,64,186
李京龙,26,195,94,199,20,9,250,314,325,3.683,12.216,时代中国广州,104,112,216
田宇恒,25,193,84,191,20,8.5,245,310,327,3.389,11.142,时代中国广州,110,104,214
李青翔,29,189,86,192,20,10,243,306,317,3.437,11.675,时代中国广州,116,97,213
付磊,25,198,84,195,21,9,249,318,331,3.458,12.441,时代中国广州,150,104,254
谢宸飞,21,204,96,202,21.5,10,264,322,335,3.656,12.559,时代中国广州,90,109,199
赵晏满,22,204,101,196,21,10,262,333,354,3.294,11.679,时代中国广州,150,60,210
缪光旸,24,209,112,212,22.5,9,266,340,347,3.572,13.089,时代中国广州,98,123,221
姚天一,27,181,80,185,19,9,231,305,320,3.378,11.689,时代中国广州,132,76,208
张展玮,23,195,95,199,21.5,9.5,250,328,344,3.318,12.508,时代中国广州,138,64,202
孙昊锋,20,196,72,194,20.5,9,251,322,337,3.678,12.530,时代中国广州,132,50,182
祝铭震,25,196,105,202,20.5,9.5,251,328,341,3.263,11.597,时代中国广州,,,
李炎哲,21,211,135,222,24,10.5,280,323,340,4.287,14.092,时代中国广州,,,
