name,age,height,weight,arm,hand_long,hand_width,stand_reach,ground_reach,run_reach,3/4_dash,limit_move,team,sp_en_score,ball_score,test_score
金鑫,26,196,104,206,22,9.5,259,332,345,3.276,11.780,天津先行者,150,120,270
张云梦,22,196,90,194,21,8.5,251,320,338,3.055,12.027,天津先行者,136,83,219
郑昊燃,22,198,85,200,21.5,9.5,257,328,340,3.068,11.757,天津先行者,124,97,221
田雨,25,208,91,202,21.5,9,258,325,342,3.349,11.744,天津先行者,150,96,246
韩博林,26,198,88,196,21.5,9.5,252,317,328,3.095,10.792,天津先行者,142,97,239
何思雨,24,197,97,197,20.5,8.5,256,325,334,3.148,11.178,天津先行者,150,112,262
时德帅,26,205,100,203,22,9,257,324,337,3.270,12.299,天津先行者,126,109,235
刘炜,21,191,84,190,20.5,9,241,310,318,3.277,11.359,天津先行者,150,58,208
谢立石,24,192,81,190,21,9,242,308,323,2.963,11.144,天津先行者,144,83,227
张晓阳,26,209,103,205,23,10,261,321,333,3.321,12.072,天津先行者,134,68,202
田野,31,185,77,186,20,8.5,236,302,321,3.446,12.509,天津先行者,,,
刘伟,32,209,103,210,21,9.5,271,324,332,,,天津先行者,,,
张兆旭,34,220,125,220,23,10,283,343,353,3.606,12.769,天津先行者,,,
李佳益,24,207,120,213,22,9,265,328,339,3.455,13.568,天津先行者,,,
林庭谦,22,190,80,192,20.5,9,246,309,319,3.429,11.548,天津先行者,134,83,217
孙鸣阳,27,210,126,214,22,9.5,273,324,332,4.050,13.225,南京同曦宙光,90,102,192
王子瑞,28,188,80,190,18.5,8,240,312,320,3.530,11.108,南京同曦宙光,124,83,207
王旭,26,179,81,179,19.5,8,229,291,310,3.507,11.978,南京同曦宙光,108,120,228
赵天熠,26,205,110,200,20,10,262,328,331,3.605,12.296,南京同曦宙光,134,64,198
衡艺丰,26,195,96,196,21.5,10.5,249,319,327,3.376,11.951,南京同曦宙光,112,90,202
白杰,23,200,83,206,20.5,9,262,330,340,3.416,11.753,南京同曦宙光,142,64,206
王子麒,24,195,82,198,20,8.5,252,318,327,3.345,11.709,南京同曦宙光,150,83,233
杨皓喆,25,181,82,183,19,9,229,313,322,3.147,10.981,南京同曦宙光,112,112,224
李泓澎,23,195,94,192,20,10,249,317,326,3.424,12.851,南京同曦宙光,128,112,240
王昊宇,21,188,77,186,19.5,9,235,305,322,3.330,11.701,南京同曦宙光,126,97,223
王梓旭,23,198,95,196,21,9.5,260,330,342,3.327,11.213,南京同曦宙光,132,76,208
皇甫承轩,20,182,79,176,19.5,9,233,297,309,3.311,11.433,南京同曦宙光,116,90,206
王睿,22,202,95,204,20.5,9,260,317,328,3.602,12.716,南京同曦宙光,100,84,184
赵柏清,23,203,108,206,22,9.5,262,325,343,3.541,12.724,南京同曦宙光,140,68,208
刘东,26,209,107,208,21.5,10,269,331,348,3.454,12.099,南京同曦宙光,132,60,192
邬挺嘉,24,180,83,180,20,9,232,294,305,3.511,12.010,南京同曦宙光,116,90,206
关宁,22,189,84,195,21,9,247,321,332,3.239,11.756,南京同曦宙光,104,76,180
孙熔孝,26,198,103,199,20.5,9,252,311,321,3.756,12.544,南京同曦宙光,94,96,190
于刚,29,207,116,209,22,10,267,,,,,南京同曦宙光,·,·,·
万圣伟,27,200,129,207,21,10,262,317,326,3.815,11.863,南京同曦宙光,,,
西热力江·木合塔尔,30,190,92,193,20,9.5,247,304,315,3.250,11.129,南京同曦宙光,,,
焦恩格尔·胡依山,26,209,110,208,21,10,,,,,,南京同曦宙光,·,·,·
史鸿飞,28,178,73,172,18,8.5,229,292,292,3.688,12.807,苏州肯帝亚,118,139,257
吴冠希,27,211,111,218,22,10,275,338,344,3.411,13.153,苏州肯帝亚,90,102,192
赵率舟,26,197,97,198,21,10,251,315,327,3.611,12.409,苏州肯帝亚,120,129,249
张稀然,24,188,82,181,20,9,234,306,321,3.198,11.397,苏州肯帝亚,122,97,219
孙鑫,21,192,81,191,20.5,8.5,245,320,332,3.284,11.997,苏州肯帝亚,150,104,254
刘宇轩,22,207,91,206,21.5,9,266,317,337,3.416,11.974,苏州肯帝亚,150,90,240
黄荣奇,22,188,80,189,20,9,245,308,323,3.554,12.718,苏州肯帝亚,112,97,209
赵旭昕,22,209,105,213,22,10.5,268,331,336,3.400,13.073,苏州肯帝亚,132,78,210
蒋浩然,21,205,107,210,21,9,263,325,335,3.340,12.105,苏州肯帝亚,150,84,234
陶彦儒,22,189,87,194,19.5,9,244,313,321,3.251,11.510,苏州肯帝亚,124,112,236
吴羽佳,22,200,82,206,21,9,259,325,333,3.429,11.881,苏州肯帝亚,150,104,254
许梦君,23,196,91,197,20,9,254,323,331,3.415,12.417,苏州肯帝亚,150,139,289
郑祺龙,25,204,91,207,21.5,9,265,332,346,3.298,10.846,苏州肯帝亚,150,104,254
刘晋廷,21,202,90,214,22.5,9,265,333,354,3.339,11.418,苏州肯帝亚,118,96,214
崔晓龙,22,194,85,189,20,9,241,312,320,3.422,12.120,苏州肯帝亚,124,83,207
李禄曈,19,213,88,221,22,9.5,278,341,356,3.280,12.238,苏州肯帝亚,140,78,218
史仪,23,183,82,179,19,8.5,227,290,303,3.136,12.007,苏州肯帝亚,,,
闫实,20,195,83,196,20.5,9,245,322,332,3.053,11.467,苏州肯帝亚,150,90,240
黄浩然,20,193,82,199,21,9,250,335,345,2.998,10.898,苏州肯帝亚,150,90,240
佟鑫,20,202,123,204,21.5,10,261,322,327,3.313,13.204,苏州肯帝亚,0,53,53
郭羽舟,21,203,94,201,20.5,9,260,321,330,,,苏州肯帝亚,·,·,·
马泽来,21,193,81,189,20,9,246,313,325,3.246,11.378,宁波甬兴证券,118,90,208
冶征文,22,185,75,185,20,9,235,302,311,3.372,11.608,宁波甬兴证券,108,90,198
赵皓然,19,199,86,202,20.5,9,257,327,331,3.315,11.870,宁波甬兴证券,150,58,208
王向彬,22,196,92,201,20,9,255,324,344,3.476,11.845,宁波甬兴证券,150,90,240
王炫,24,184,81,195,20.5,9.5,243,304,321,3.372,12.027,宁波甬兴证券,112,78,190
赵俊峰,21,193,83,192,20,8,245,307,324,3.728,11.983,宁波甬兴证券,102,102,204
李柏润,21,186,90,188,19.5,9,241,303,313,3.540,12.157,宁波甬兴证券,104,83,187
陈柏石,22,200,89,194,19.5,9,252,324,343,3.273,11.274,宁波甬兴证券,148,58,206
刘育辰,26,199,76,201,21,10,255,325,332,3.405,11.761,宁波甬兴证券,112,90,202
韩德龙,26,196,91,196,19.5,8,247,310,320,3.483,11.691,宁波甬兴证券,124,120,244
许裕茁,22,199,91,195,20.5,9.5,252,320,332,3.238,11.375,宁波甬兴证券,150,83,233
马振翔,21,200,105,204,20,9,260,327,331,3.468,11.688,宁波甬兴证券,144,96,240
宁鸿宇,26,210,87,208,21.5,8.5,265,340,361,3.402,12.149,宁波甬兴证券,114,131,245
王小乙,22,203,82,196,20.5,8.5,256,316,337,3.354,11.346,宁波甬兴证券,126,90,216
薛驰,21,205,91,204,21.5,9,261,324,340,3.364,12.230,宁波甬兴证券,150,70,220
肖天,22,202,98,202,21,9.5,257,329,338,3.250,12.005,宁波甬兴证券,150,52,202
阿尔达格尔·阿依丁,21,205,88,205,21.5,9.5,264,326,341,3.261,11.787,宁波甬兴证券,150,73,223
李文豪,20,208,86,208,21.5,9,263,336,349,3.261,11.626,宁波甬兴证券,150,70,220
主昊,22,205,103,205,20.5,9,265,323,329,3.532,11.923,宁波甬兴证券,134,57,191
张彪,31,201,101,204,21,9,261,321,340,3.551,12.206,宁波甬兴证券,,,
曲虹霖,19,207,103,215,22,9,269,334,336,3.363,11.632,宁波甬兴证券,,,
党瑞博,22,199,98,196,21,9,251,311,323,3.168,10.814,宁波甬兴证券,122,64,186
